process.parent.name,process.parent.pid,process.group_leader.pid,process.session_leader.pid,process.pid,process.command_line,process.executable,@timestamp,host.os.family,host.name,user.name
/usr/bin/xargs,10974,10957,10950,11019,basename /usr/local/Cellar/python@3.11/3.11.7_1/Python Launcher 3.app,/usr/bin/basename,2024-11-21T23:56:54.142Z,darwin,scr-office-imac.local,michael.scott
/usr/bin/xargs,10974,10957,10950,11031,basename /Library/Image Capture/Support/LegacyDeviceDiscoveryHelpers/AirScanLegacyDiscovery.app,/usr/bin/basename,2024-11-21T23:56:54.142Z,darwin,scr-office-imac.local,michael.scott
/sbin/launchd,1,1,1,11049,xpcproxy com.apple.mdworker.shared.07000000-0200-0000-0000-000000000000,/usr/libexec/xpcproxy,2024-11-21T23:56:55.144Z,darwin,scr-office-imac.local,root
/usr/libexec/xpcproxy,1,11049,1,11049,/System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared,/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared,2024-11-21T23:56:55.144Z,darwin,scr-office-imac.local,michael.scott
/usr/libexec/xpcproxy,1,11050,1,11050,/System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared,/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared,2024-11-21T23:56:56.145Z,darwin,scr-office-imac.local,michael.scott
/usr/libexec/xpcproxy,1,11051,1,11051,/System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared,/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared,2024-11-21T23:56:56.145Z,darwin,scr-office-imac.local,michael.scott
/bin/bash,10957,10957,10950,11056,rm /Users/michael.scott/211052263.zip,/bin/rm,2024-11-21T23:57:01.150Z,darwin,scr-office-imac.local,michael.scott
/bin/sh,10957,10957,10950,11056,sh -c rm /Users/michael.scott/211052263.zip,/bin/bash,2024-11-21T23:57:01.150Z,darwin,scr-office-imac.local,michael.scott
/Volumes/BrewApp/BrewApp,10957,10957,10950,11056,sh -c rm /Users/michael.scott/211052263.zip,/bin/sh,2024-11-21T23:57:01.150Z,darwin,scr-office-imac.local,michael.scott
/bin/bash,10955,10955,10950,10956,/usr/bin/touch /Users/michael.scott/.bash_sessions/8A8F76C6-1CFE-4D6D-83A1-169035BF07BD.historynew,/usr/bin/touch,2024-11-21T23:56:48.134Z,darwin,scr-office-imac.local,michael.scott
/Volumes/BrewApp/BrewApp,10957,10957,10950,10960,sh -c sw_vers,/bin/sh,2024-11-21T23:56:48.134Z,darwin,scr-office-imac.local,michael.scott
/bin/bash,10951,10957,10950,10957,/Volumes/BrewApp/BrewApp,/Volumes/BrewApp/BrewApp,2024-11-21T23:56:48.134Z,darwin,scr-office-imac.local,michael.scott
/usr/bin/login,10950,10950,10950,10951,-bash,/bin/bash,2024-11-21T23:56:48.133Z,darwin,scr-office-imac.local,michael.scott
/bin/bash,10957,10957,10950,10959,mkdir /Users/michael.scott/211052263,/bin/mkdir,2024-11-21T23:56:48.134Z,darwin,scr-office-imac.local,michael.scott
/bin/bash,10957,10957,10950,10963,system_profiler SPDisplaysDataType,/usr/sbin/system_profiler,2024-11-21T23:56:49.136Z,darwin,scr-office-imac.local,michael.scott
/bin/bash,10957,10957,10950,10966,"osascript -e display dialog ""To launch the application, you need to update the system settings \n\nPlease enter your password."" with title ""System Preferences"" with icon caution default answer """" giving up after 30 with hidden answer",/usr/bin/osascript,2024-11-21T23:56:49.137Z,darwin,scr-office-imac.local,michael.scott
/bin/sh,10957,10957,10950,10963,sh -c system_profiler SPDisplaysDataType,/bin/bash,2024-11-21T23:56:49.136Z,darwin,scr-office-imac.local,michael.scott
/bin/sh,10957,10957,10950,10965,"sh -c dscl /Local/Default -authonly michael.scott """"",/bin/bash,2024-11-21T23:56:49.137Z,darwin,scr-office-imac.local,michael.scott
/bin/sh,10957,10957,10950,10966,"sh -c osascript -e 'display dialog ""To launch the application, you need to update the system settings \n\nPlease enter your password."" with title ""System Preferences"" with icon caution default answer """" giving up after 30 with hidden answer'",/bin/bash,2024-11-21T23:56:49.137Z,darwin,scr-office-imac.local,michael.scott
/bin/sh,10957,10957,10950,10969,sh -c dscl /Local/Default -authonly michael.scott bestboss!,/bin/bash,2024-11-21T23:56:53.139Z,darwin,scr-office-imac.local,michael.scott
/Volumes/BrewApp/BrewApp,10957,10957,10950,10970,sh -c mkdir -p '/Users/michael.scott/211052263/Chromium/Chrome',/bin/sh,2024-11-21T23:56:53.140Z,darwin,scr-office-imac.local,michael.scott
/usr/bin/xargs,10974,10957,10950,10992,basename /Applications/Elastic Security.app,/usr/bin/basename,2024-11-21T23:56:54.141Z,darwin,scr-office-imac.local,michael.scott
